***** N = 1 *****
N       RTT           SRTT          RTT_VAR       RTO           
81      125.000000    224.115621    137.027021    772.223705    
82      125.000000    211.726169    124.451808    709.533400    
83      125.000000    200.885397    112.310205    650.126219    
84      500.000000    238.274723    149.663973    836.930616    
85      125.000000    224.115382    137.026826    772.222685    
86      125.000000    211.725960    124.451609    709.532396    
87      125.000000    200.885215    112.310010    650.125257    
88      500.000000    238.274563    149.663867    836.930031    
89      125.000000    224.115242    137.026711    772.222086    
90      125.000000    211.725837    124.451493    709.531807    
91      125.000000    200.885108    112.309896    650.124693    
92      500.000000    238.274469    149.663805    836.929689    
93      125.000000    224.115160    137.026644    772.221736    
94      125.000000    211.725765    124.451424    709.531462    
95      125.000000    200.885045    112.309829    650.124362    
96      500.000000    238.274414    149.663768    836.929488    
97      125.000000    224.115112    137.026604    772.221530    
98      125.000000    211.725723    124.451384    709.531260    
99      125.000000    200.885008    112.309790    650.124168    
100     500.000000    238.274382    149.663747    836.929370    
101     125.000000    224.115084    137.026581    772.221410    
102     125.000000    211.725699    124.451361    709.531141    
103     125.000000    200.884986    112.309767    650.124055    
104     500.000000    238.274363    149.663735    836.929301    
105     125.000000    224.115068    137.026568    772.221339    
106     125.000000    211.725684    124.451347    709.531072    
107     125.000000    200.884974    112.309754    650.123988    
108     500.000000    238.274352    149.663727    836.929261    
109     125.000000    224.115058    137.026560    772.221298    
110     125.000000    211.725676    124.451339    709.531031    
111     125.000000    200.884966    112.309746    650.123949    
112     500.000000    238.274345    149.663723    836.929237    
113     125.000000    224.115052    137.026555    772.221273    
114     125.000000    211.725671    124.451334    709.531007    
115     125.000000    200.884962    112.309741    650.123926    
116     500.000000    238.274342    149.663720    836.929223    
117     125.000000    224.115049    137.026553    772.221259    
118     125.000000    211.725668    124.451331    709.530993    
119     125.000000    200.884959    112.309738    650.123913    
***** N = 5 *****
N       RTT           SRTT          RTT_VAR       RTO           
0       500.000000    238.274339    149.663719    836.929215    
1       125.000000    224.115047    137.026551    772.221251    
2       125.000000    211.725666    124.451330    709.530985    
3       125.000000    200.884958    112.309737    650.123905    
4       125.000000    191.399338    100.832137    594.727887    
5       500.000000    229.974421    143.130498    802.496411    
6       125.000000    216.852618    130.311028    738.096729    
7       125.000000    205.371041    117.826031    676.675165    
8       125.000000    195.324661    105.950689    619.127415    
9       125.000000    186.534078    94.846536     565.920222    
10      500.000000    225.717318    139.705572    784.539608    
11      125.000000    213.127654    126.811093    720.372024    
12      125.000000    202.111697    114.386244    659.656672    
13      125.000000    192.472735    102.657867    603.104201    
14      125.000000    184.038643    91.753061     551.050886    
15      500.000000    223.533813    137.931342    775.259182    
16      125.000000    211.217086    125.002778    711.228199    
17      125.000000    200.439950    112.612071    650.888235    
18      125.000000    191.009956    100.961543    594.856127    
19      125.000000    182.758712    90.160835     543.402052    
20      500.000000    222.413873    137.017158    770.482505    
21      125.000000    210.237139    124.072153    706.525751    
22      125.000000    199.582496    111.699739    646.381452    
23      125.000000    190.259684    100.089725    590.618586    
24      125.000000    182.102224    89.342850     539.473624    
25      500.000000    221.839446    136.547276    768.028550    
26      125.000000    209.734515    123.594086    704.110858    
27      125.000000    199.142701    111.231240    644.067659    
28      125.000000    189.874863    99.642145     588.443445    
29      125.000000    181.765505    88.922985     537.457447    
30      500.000000    221.544817    136.306035    766.768956    
31      125.000000    209.476715    123.348705    702.871534    
32      125.000000    198.917126    110.990810    642.880366    
33      125.000000    189.677485    99.412479     587.327400    
34      125.000000    181.592799    88.707559     536.423035    
35      500.000000    221.393699    136.182244    766.122677    
36      125.000000    209.344487    123.222805    702.235707    
37      125.000000    198.801426    110.867460    642.271267    
38      125.000000    189.576248    99.294657     586.754876    
39      125.000000    181.504217    88.597047     535.892405    
40      500.000000    221.316190    136.118738    765.791141    
41      125.000000    209.276666    123.158220    701.909546    
42      125.000000    198.742083    110.804186    641.958825    
43      125.000000    189.524322    99.234220     586.461202    
44      125.000000    181.458782    88.540360     535.620224    
45      500.000000    221.276434    136.086162    765.621081    
46      125.000000    209.241880    123.125091    701.742245    
47      125.000000    198.711645    110.771730    641.798564    
48      125.000000    189.497689    99.203220     586.310568    
49      125.000000    181.435478    88.511284     535.480615    
50      500.000000    221.256043    136.069452    765.533853    
51      125.000000    209.224038    123.108099    701.656433    
52      125.000000    198.696033    110.755082    641.716363    
53      125.000000    189.484029    99.187319     586.233305    
54      125.000000    181.423525    88.496371     535.409008    
55      500.000000    221.245585    136.060882    765.489112    
56      125.000000    209.214887    123.099383    701.612419    
57      125.000000    198.688026    110.746544    641.674201    
58      125.000000    189.477023    99.179163     586.193676    
59      125.000000    181.417395    88.488721     535.372280    
60      500.000000    221.240220    136.056486    765.466164    
61      125.000000    209.210193    123.094913    701.589843    
62      125.000000    198.683919    110.742164    641.652575    
63      125.000000    189.473429    99.174980     586.173350    
64      125.000000    181.414250    88.484798     535.353442    
65      500.000000    221.237469    136.054231    765.454394    
66      125.000000    209.207785    123.092620    701.578264    
67      125.000000    198.681812    110.739918    641.641484    
68      125.000000    189.471586    99.172835     586.162925    
69      125.000000    181.412637    88.482785     535.343779    
70      500.000000    221.236058    136.053075    765.448356    
71      125.000000    209.206551    123.091444    701.572325    
72      125.000000    198.680732    110.738766    641.635794    
73      125.000000    189.470640    99.171734     586.157578    
74      125.000000    181.411810    88.481753     535.338823    
75      500.000000    221.235334    136.052481    765.445260    
76      125.000000    209.205917    123.090840    701.569279    
77      125.000000    198.680178    110.738175    641.632876    
78      125.000000    189.470155    99.171170     586.154835    
79      125.000000    181.411386    88.481224     535.336282    
80      500.000000    221.234963    136.052177    765.443672    
81      125.000000    209.205592    123.090531    701.567716    
82      125.000000    198.679893    110.737872    641.631380    
83      125.000000    189.469907    99.170880     586.153428    
84      125.000000    181.411168    88.480952     535.334978    
85      500.000000    221.234772    136.052021    765.442857    
86      125.000000    209.205426    123.090372    701.566915    
87      125.000000    198.679748    110.737716    641.630612    
88      125.000000    189.469779    99.170732     586.152707    
89      125.000000    181.411057    88.480813     535.334309    
90      500.000000    221.234675    136.051941    765.442439    
91      125.000000    209.205340    123.090291    701.566504    
92      125.000000    198.679673    110.737636    641.630218    
93      125.000000    189.469714    99.170656     586.152336    
94      125.000000    181.410999    88.480742     535.333966    
95      500.000000    221.234625    136.051900    765.442225    
96      125.000000    209.205296    123.090249    701.566293    
97      125.000000    198.679634    110.737595    641.630016    
98      125.000000    189.469680    99.170617     586.152147    
99      125.000000    181.410970    88.480705     535.333790    
100     500.000000    221.234599    136.051879    765.442115    
101     125.000000    209.205274    123.090228    701.566185    
102     125.000000    198.679615    110.737575    641.629913    
103     125.000000    189.469663    99.170597     586.152049    
104     125.000000    181.410955    88.480686     535.333700    
105     500.000000    221.234586    136.051868    765.442059    
106     125.000000    209.205262    123.090217    701.566130    
107     125.000000    198.679605    110.737564    641.629860    
108     125.000000    189.469654    99.170586     586.151999    
109     125.000000    181.410947    88.480677     535.333654    
